,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,W,L,W/L%,GB,PS/G,PA/G,SRS
191,Chris Paul,PG,37,PHO,26,26,31.1,4.4,10.3,0.425,1.7,4.2,0.398,2.7,6.2,0.444,0.506,2.7,3.3,0.802,0.5,3.7,4.2,8.3,1.5,0.3,2.0,2.4,13.1,2023,21,24,0.467,4.5,112.6,112.2,0.75
192,Cameron Payne,PG,28,PHO,28,14,24.0,4.5,11.0,0.412,1.7,4.5,0.378,2.8,6.5,0.436,0.49,1.4,1.8,0.776,0.3,2.0,2.3,5.3,0.9,0.2,2.0,2.0,12.1,2023,21,24,0.467,4.5,112.6,112.2,0.75
193,Dario Šarić,PF,28,PHO,26,9,13.6,1.8,4.4,0.409,0.7,2.0,0.373,1.1,2.5,0.438,0.491,0.7,0.7,0.895,0.8,2.3,3.2,1.4,0.3,0.1,1.0,1.5,5.0,2023,21,24,0.467,4.5,112.6,112.2,0.75
194,Landry Shamet,SG,25,PHO,30,7,21.4,3.1,8.1,0.38,2.0,5.4,0.377,1.0,2.7,0.388,0.506,1.4,1.5,0.911,0.3,1.4,1.7,2.2,0.6,0.2,1.0,1.5,9.5,2023,21,24,0.467,4.5,112.6,112.2,0.75
195,Ish Wainright,SF,28,PHO,28,1,14.5,1.3,3.4,0.394,0.9,2.4,0.368,0.4,0.9,0.462,0.527,0.2,0.3,0.667,1.0,1.0,2.0,1.0,0.7,0.3,0.5,2.0,3.8,2023,21,24,0.467,4.5,112.6,112.2,0.75
196,Duane Washington Jr.,SG,22,PHO,27,3,13.3,3.2,8.6,0.375,1.3,3.7,0.35,1.9,4.9,0.394,0.45,0.6,0.9,0.667,0.0,1.1,1.1,2.0,0.2,0.1,1.2,0.7,8.3,2023,21,24,0.467,4.5,112.6,112.2,0.75
197,Marvin Bagley III,C,23,DET,25,13,21.3,4.3,8.0,0.537,0.4,1.3,0.273,4.0,6.7,0.589,0.56,1.6,2.1,0.769,2.1,3.8,5.9,0.6,0.5,0.7,0.9,2.0,10.6,2023,12,35,0.255,17.5,112.1,119.5,-6.48
198,Saddiq Bey,SF,23,DET,43,25,28.7,4.5,11.2,0.4,1.8,5.4,0.333,2.7,5.8,0.462,0.48,3.5,4.1,0.857,1.0,3.3,4.3,1.5,0.9,0.2,1.1,1.6,14.3,2023,12,35,0.255,17.5,112.1,119.5,-6.48
200,Bojan Bogdanović,PF,33,DET,44,44,31.4,7.1,14.6,0.487,2.4,5.9,0.415,4.7,8.7,0.535,0.57,4.6,5.2,0.885,0.5,3.1,3.6,2.8,0.6,0.1,2.3,1.8,21.2,2023,12,35,0.255,17.5,112.1,119.5,-6.48
201,Alec Burks,SG,31,DET,34,0,21.8,4.3,9.2,0.465,2.0,4.4,0.453,2.3,4.8,0.475,0.574,3.3,4.0,0.81,0.3,2.7,3.0,2.2,0.8,0.1,1.1,2.1,13.8,2023,12,35,0.255,17.5,112.1,119.5,-6.48
202,Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3.0,3.6,0.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,2023,12,35,0.255,17.5,112.1,119.5,-6.48
203,Hamidou Diallo,SG,24,DET,39,0,16.3,3.2,5.6,0.562,0.1,0.5,0.278,3.0,5.2,0.587,0.573,1.4,2.6,0.56,1.1,2.4,3.5,0.9,0.7,0.2,1.1,2.2,7.9,2023,12,35,0.255,17.5,112.1,119.5,-6.48
204,Jalen Duren,C,19,DET,39,15,24.4,3.3,5.2,0.634,0.0,0.0,0.0,3.3,5.2,0.637,0.634,1.1,1.9,0.573,3.4,5.1,8.5,1.0,0.6,0.7,1.2,2.6,7.7,2023,12,35,0.255,17.5,112.1,119.5,-6.48
205,Killian Hayes,PG,21,DET,44,31,26.6,4.0,10.1,0.396,1.2,3.6,0.335,2.8,6.5,0.43,0.456,0.8,1.0,0.81,0.4,2.5,2.8,5.7,1.3,0.4,1.9,2.8,10.0,2023,12,35,0.255,17.5,112.1,119.5,-6.48
206,Jaden Ivey,SG,20,DET,43,42,30.2,5.2,12.7,0.41,1.3,4.2,0.324,3.8,8.5,0.452,0.463,3.4,4.7,0.728,1.0,3.1,4.1,4.3,0.9,0.2,2.8,3.0,15.1,2023,12,35,0.255,17.5,112.1,119.5,-6.48
207,Cory Joseph,PG,31,DET,35,2,15.6,1.7,4.2,0.392,0.6,1.8,0.313,1.1,2.4,0.452,0.459,0.7,1.0,0.765,0.3,1.0,1.3,3.1,0.4,0.1,0.7,1.5,4.6,2023,12,35,0.255,17.5,112.1,119.5,-6.48
209,Kevin Knox,PF,23,DET,37,1,14.6,2.1,4.5,0.467,1.1,2.9,0.37,1.0,1.6,0.644,0.587,0.7,0.9,0.788,0.4,2.0,2.4,0.4,0.3,0.3,0.7,1.8,6.0,2023,12,35,0.255,17.5,112.1,119.5,-6.48
210,Isaiah Livers,PF,24,DET,25,8,20.4,1.9,4.8,0.403,1.3,3.8,0.351,0.6,1.0,0.6,0.542,0.6,0.8,0.75,0.6,1.9,2.5,0.6,0.4,0.6,0.6,1.8,5.8,2023,12,35,0.255,17.5,112.1,119.5,-6.48
211,Rodney McGruder,SG,31,DET,19,2,10.2,1.0,2.7,0.365,0.8,2.0,0.395,0.2,0.7,0.286,0.51,0.4,0.6,0.727,0.5,0.8,1.4,0.6,0.3,0.0,0.4,0.8,3.2,2023,12,35,0.255,17.5,112.1,119.5,-6.48
212,Nerlens Noel,C,28,DET,12,3,11.8,1.0,2.3,0.444,0.1,0.2,0.5,0.9,2.1,0.44,0.463,0.3,0.5,0.667,0.6,2.3,2.8,0.6,1.1,0.8,0.5,1.8,2.4,2023,12,35,0.255,17.5,112.1,119.5,-6.48
214,Isaiah Stewart,C,21,DET,37,37,28.5,4.1,8.9,0.457,1.4,4.2,0.335,2.6,4.7,0.566,0.537,2.2,2.9,0.734,2.2,5.8,8.0,1.2,0.4,0.7,1.5,2.7,11.7,2023,12,35,0.255,17.5,112.1,119.5,-6.48
215,Patrick Baldwin Jr.,SF,20,GSW,14,0,8.4,1.8,4.1,0.431,1.4,3.3,0.435,0.4,0.9,0.417,0.603,0.2,0.3,0.75,0.0,1.5,1.5,0.2,0.4,0.1,0.4,0.5,5.2,2023,22,22,0.5,3.0,117.5,117.9,-0.81
216,Stephen Curry,PG,34,GSW,30,30,34.0,9.9,20.0,0.493,4.9,11.6,0.421,5.0,8.4,0.591,0.615,4.7,5.1,0.909,0.6,5.8,6.4,6.3,0.9,0.4,3.1,2.1,29.3,2023,22,22,0.5,3.0,117.5,117.9,-0.81
217,Donte DiVincenzo,SG,26,GSW,34,11,24.0,2.7,6.7,0.402,1.7,4.7,0.369,1.0,2.0,0.478,0.531,0.7,0.9,0.862,1.0,3.7,4.7,3.1,1.3,0.1,1.3,1.9,7.9,2023,22,22,0.5,3.0,117.5,117.9,-0.81
218,Draymond Green,PF,32,GSW,40,40,31.4,3.1,6.2,0.502,0.6,1.9,0.325,2.5,4.3,0.582,0.553,1.1,1.5,0.724,0.8,6.1,7.0,6.7,0.9,0.8,2.5,3.0,7.9,2023,22,22,0.5,3.0,117.5,117.9,-0.81
219,JaMychal Green,PF,32,GSW,28,1,14.9,2.3,4.5,0.512,0.5,1.8,0.265,1.8,2.7,0.671,0.564,0.8,1.1,0.733,1.4,2.6,4.0,0.8,0.5,0.4,1.1,2.0,5.8,2023,22,22,0.5,3.0,117.5,117.9,-0.81
221,Ty Jerome,SG,25,GSW,27,1,17.1,2.5,5.1,0.486,0.8,2.0,0.382,1.7,3.1,0.554,0.562,0.9,1.0,0.962,0.1,1.4,1.6,2.4,0.4,0.1,0.6,1.4,6.7,2023,22,22,0.5,3.0,117.5,117.9,-0.81
222,Jonathan Kuminga,PF,20,GSW,33,4,18.6,2.8,6.0,0.472,0.5,1.9,0.258,2.4,4.2,0.569,0.513,1.4,2.0,0.672,1.0,2.2,3.2,1.7,0.5,0.5,1.5,2.3,7.5,2023,22,22,0.5,3.0,117.5,117.9,-0.81
223,Anthony Lamb,SF,25,GSW,36,3,19.9,2.8,5.3,0.518,1.4,3.4,0.419,1.3,1.9,0.701,0.654,0.7,0.9,0.765,0.8,2.6,3.4,1.7,0.6,0.3,1.0,2.4,7.7,2023,22,22,0.5,3.0,117.5,117.9,-0.81
225,Moses Moody,SG,20,GSW,38,3,14.8,1.8,4.0,0.451,0.9,2.5,0.365,0.9,1.5,0.596,0.565,0.7,1.0,0.703,0.4,1.2,1.6,0.9,0.3,0.1,0.7,0.9,5.2,2023,22,22,0.5,3.0,117.5,117.9,-0.81
226,Jordan Poole,PG,23,GSW,44,22,30.2,7.1,16.3,0.437,2.6,8.1,0.318,4.5,8.2,0.552,0.515,4.2,4.8,0.869,0.4,2.3,2.6,4.4,0.8,0.3,3.5,2.4,21.0,2023,22,22,0.5,3.0,117.5,117.9,-0.81
227,Ryan Rollins,PG,20,GSW,12,0,5.2,0.6,1.7,0.35,0.3,0.8,0.333,0.3,0.9,0.364,0.425,0.5,0.5,1.0,0.3,0.8,1.0,0.5,0.1,0.1,1.3,0.8,1.9,2023,22,22,0.5,3.0,117.5,117.9,-0.81
228,Klay Thompson,SG,32,GSW,34,34,32.0,7.6,18.0,0.42,4.1,10.4,0.394,3.5,7.6,0.456,0.533,1.6,1.9,0.889,0.7,3.2,3.9,2.5,0.6,0.4,1.7,2.0,20.9,2023,22,22,0.5,3.0,117.5,117.9,-0.81
229,Andrew Wiggins,SF,27,GSW,27,27,31.8,7.0,14.5,0.482,2.7,6.7,0.407,4.3,7.8,0.548,0.577,1.1,1.9,0.608,1.6,3.4,5.0,2.3,1.4,0.8,1.3,2.9,17.9,2023,22,22,0.5,3.0,117.5,117.9,-0.81
230,James Wiseman,C,21,GSW,19,0,12.7,2.8,4.6,0.609,0.1,0.1,0.5,2.7,4.5,0.612,0.615,1.2,1.8,0.657,0.9,2.7,3.6,0.7,0.1,0.4,0.7,1.9,6.8,2023,22,22,0.5,3.0,117.5,117.9,-0.81
231,LaMelo Ball,PG,21,CHO,21,21,34.8,8.5,20.5,0.415,4.1,11.0,0.374,4.4,9.6,0.463,0.515,2.9,3.3,0.87,1.0,4.3,5.4,8.4,1.1,0.3,3.0,3.6,24.0,2023,11,34,0.244,13.0,112.2,118.9,-5.98
232,James Bouknight,SG,22,CHO,25,0,13.9,1.6,4.8,0.333,0.6,2.5,0.254,1.0,2.3,0.421,0.4,0.6,0.9,0.682,0.2,1.8,2.0,1.1,0.5,0.2,0.7,1.2,4.4,2023,11,34,0.244,13.0,112.2,118.9,-5.98
233,Gordon Hayward,SF,32,CHO,21,21,32.7,5.1,12.0,0.423,1.1,3.8,0.3,4.0,8.2,0.48,0.47,2.3,3.0,0.766,0.9,3.9,4.7,3.9,0.8,0.2,2.1,1.1,13.7,2023,11,34,0.244,13.0,112.2,118.9,-5.98
234,Kai Jones,C,22,CHO,25,0,9.1,1.1,2.2,0.5,0.1,0.4,0.273,1.0,1.8,0.556,0.527,0.3,0.4,0.727,0.8,1.2,2.0,0.2,0.2,0.4,0.4,1.2,2.7,2023,11,34,0.244,13.0,112.2,118.9,-5.98
235,Théo Maledon,PG,21,CHO,35,1,16.1,1.8,4.3,0.408,0.6,1.8,0.323,1.2,2.6,0.467,0.474,1.4,1.6,0.875,0.3,2.1,2.4,2.5,0.8,0.2,1.0,1.0,5.5,2023,11,34,0.244,13.0,112.2,118.9,-5.98
236,Cody Martin,SF,27,CHO,7,0,19.1,2.0,5.1,0.389,0.4,2.0,0.214,1.6,3.1,0.5,0.431,0.6,1.0,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5.0,2023,11,34,0.244,13.0,112.2,118.9,-5.98
237,Jalen McDaniels,SF,25,CHO,45,17,26.8,4.1,8.8,0.461,1.3,3.6,0.358,2.8,5.2,0.532,0.534,1.8,2.0,0.859,0.8,3.9,4.8,2.0,1.1,0.6,1.4,2.9,11.2,2023,11,34,0.244,13.0,112.2,118.9,-5.98
238,Bryce McGowens,SG,20,CHO,18,0,11.6,1.1,2.7,0.388,0.3,0.9,0.375,0.7,1.8,0.394,0.449,0.7,0.8,0.857,0.2,1.1,1.2,0.8,0.2,0.2,0.4,0.4,3.1,2023,11,34,0.244,13.0,112.2,118.9,-5.98
239,Kelly Oubre Jr.,SF,27,CHO,35,30,32.6,7.5,17.8,0.421,2.3,7.4,0.308,5.2,10.4,0.503,0.486,2.9,4.0,0.714,1.5,3.6,5.1,1.2,1.6,0.4,1.3,3.0,20.2,2023,11,34,0.244,13.0,112.2,118.9,-5.98
242,Terry Rozier,SG,28,CHO,35,35,35.6,7.9,19.1,0.412,2.5,7.8,0.324,5.3,11.3,0.472,0.478,2.6,3.1,0.835,1.1,3.1,4.2,5.3,0.8,0.2,2.4,1.8,20.8,2023,11,34,0.244,13.0,112.2,118.9,-5.98
243,Dennis Smith Jr.,PG,25,CHO,23,11,25.6,3.4,8.1,0.425,0.5,1.9,0.256,3.0,6.2,0.476,0.454,0.7,1.0,0.667,0.4,2.3,2.8,4.8,1.6,0.5,1.4,2.3,8.0,2023,11,34,0.244,13.0,112.2,118.9,-5.98
244,JT Thor,PF,20,CHO,32,0,10.6,1.0,2.6,0.373,0.4,1.5,0.277,0.6,1.1,0.5,0.452,0.4,0.6,0.722,0.5,1.3,1.7,0.4,0.2,0.3,0.4,0.7,2.8,2023,11,34,0.244,13.0,112.2,118.9,-5.98
245,P.J. Washington,PF,24,CHO,44,44,32.3,5.7,12.9,0.439,2.0,5.6,0.363,3.6,7.3,0.498,0.519,1.8,2.3,0.8,1.1,3.5,4.5,2.3,0.8,1.1,1.5,2.7,15.2,2023,11,34,0.244,13.0,112.2,118.9,-5.98
247,Dominick Barlow,SF,19,SAS,4,0,6.5,0.8,1.8,0.429,0.0,0.8,0.0,0.8,1.0,0.75,0.429,1.0,1.0,1.0,0.5,0.3,0.8,0.8,0.3,0.0,0.0,0.8,2.5,2023,13,31,0.295,17.5,112.6,121.7,-8.54
248,Charles Bassey,C,22,SAS,24,1,13.6,2.0,2.9,0.671,0.1,0.3,0.333,1.9,2.7,0.703,0.686,0.7,1.0,0.667,1.8,3.4,5.2,1.2,0.3,0.9,1.2,2.1,4.7,2023,13,31,0.295,17.5,112.6,121.7,-8.54
249,Keita Bates-Diop,SF,27,SAS,31,12,17.5,2.9,5.6,0.52,0.5,1.4,0.372,2.4,4.2,0.569,0.566,1.1,1.4,0.814,1.1,1.6,2.7,0.7,0.6,0.2,0.8,0.8,7.5,2023,13,31,0.295,17.5,112.6,121.7,-8.54
250,Malaki Branham,SF,19,SAS,30,4,19.5,2.8,6.5,0.423,1.0,3.2,0.299,1.8,3.3,0.545,0.497,0.7,0.8,0.8,0.2,1.5,1.7,1.6,0.4,0.1,1.1,1.3,7.2,2023,13,31,0.295,17.5,112.6,121.7,-8.54
251,Zach Collins,C,25,SAS,33,7,20.3,3.6,6.7,0.536,0.6,1.6,0.377,3.0,5.1,0.586,0.581,1.5,2.2,0.704,1.9,3.8,5.8,2.5,0.4,0.8,1.9,3.4,9.3,2023,13,31,0.295,17.5,112.6,121.7,-8.54
252,Gorgui Dieng,C,33,SAS,14,1,10.9,1.4,3.4,0.417,0.7,2.4,0.303,0.7,1.1,0.667,0.521,0.2,0.3,0.75,1.0,2.0,3.0,1.9,0.1,0.5,0.9,1.6,3.8,2023,13,31,0.295,17.5,112.6,121.7,-8.54
253,Jordan Hall,SF,21,SAS,9,0,9.2,1.0,3.1,0.321,0.3,1.7,0.2,0.7,1.4,0.462,0.375,0.8,1.0,0.778,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1,2023,13,31,0.295,17.5,112.6,121.7,-8.54
254,Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.5,0.3,0.5,0.5,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,2023,13,31,0.295,17.5,112.6,121.7,-8.54
255,Keldon Johnson,SF,23,SAS,38,38,32.1,7.4,17.5,0.421,2.4,7.1,0.338,5.0,10.4,0.477,0.489,4.0,5.2,0.772,0.8,3.9,4.8,2.7,0.7,0.2,2.2,1.9,21.1,2023,13,31,0.295,17.5,112.6,121.7,-8.54
256,Stanley Johnson,SF,26,SAS,17,0,13.6,2.3,4.0,0.574,0.8,1.6,0.481,1.5,2.4,0.634,0.669,0.8,1.3,0.591,0.5,2.2,2.6,2.4,0.4,0.2,0.8,1.7,6.1,2023,13,31,0.295,17.5,112.6,121.7,-8.54
257,Tre Jones,PG,23,SAS,43,43,30.0,5.3,11.8,0.451,0.8,2.7,0.289,4.5,9.1,0.497,0.483,2.4,2.7,0.896,0.8,2.9,3.7,6.4,1.3,0.2,1.9,1.6,13.8,2023,13,31,0.295,17.5,112.6,121.7,-8.54
258,Romeo Langford,SG,23,SAS,29,16,19.9,3.0,6.3,0.484,0.4,1.4,0.275,2.7,4.9,0.542,0.514,0.8,1.2,0.639,1.4,1.2,2.7,1.2,0.6,0.3,0.7,1.7,7.2,2023,13,31,0.295,17.5,112.6,121.7,-8.54
259,Doug McDermott,SF,31,SAS,38,0,20.5,3.9,8.0,0.487,1.9,4.5,0.421,2.0,3.5,0.571,0.605,0.8,1.1,0.738,0.3,2.1,2.4,1.4,0.1,0.2,0.9,1.7,10.5,2023,13,31,0.295,17.5,112.6,121.7,-8.54
261,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,0.346,0.8,3.0,0.25,1.5,3.5,0.429,0.404,1.8,2.3,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0,2023,13,31,0.295,17.5,112.6,121.7,-8.54
262,Josh Richardson,SG,29,SAS,34,3,23.1,4.1,9.3,0.442,1.8,4.9,0.361,2.4,4.4,0.53,0.536,1.3,1.4,0.878,0.6,1.9,2.5,3.3,0.9,0.2,1.5,1.7,11.3,2023,13,31,0.295,17.5,112.6,121.7,-8.54
263,Isaiah Roby,PF,24,SAS,32,1,10.7,1.5,3.4,0.44,0.4,1.5,0.298,1.1,1.9,0.548,0.505,0.4,0.9,0.448,0.4,2.0,2.4,1.0,0.4,0.2,0.6,1.1,3.8,2023,13,31,0.295,17.5,112.6,121.7,-8.54
264,Jeremy Sochan,PF,19,SAS,38,35,25.7,3.7,8.1,0.456,0.4,2.0,0.197,3.3,6.1,0.541,0.48,1.0,1.7,0.619,1.6,3.3,4.8,2.4,0.8,0.5,1.8,2.7,8.8,2023,13,31,0.295,17.5,112.6,121.7,-8.54
265,Devin Vassell,SG,22,SAS,29,24,31.3,7.1,16.0,0.445,2.8,7.0,0.404,4.3,9.0,0.477,0.533,2.4,3.0,0.793,0.2,3.8,4.0,3.6,1.2,0.4,1.6,1.4,19.4,2023,13,31,0.295,17.5,112.6,121.7,-8.54
266,Blake Wesley,SG,19,SAS,4,0,9.8,2.3,3.5,0.643,0.8,1.0,0.75,1.5,2.5,0.6,0.75,0.5,1.0,0.5,0.3,0.8,1.0,1.3,0.0,0.0,1.0,1.8,5.8,2023,13,31,0.295,17.5,112.6,121.7,-8.54
267,Harrison Barnes,PF,30,SAC,42,42,32.1,4.7,9.6,0.488,1.6,4.4,0.366,3.1,5.2,0.592,0.572,4.2,5.1,0.822,1.0,4.0,5.0,1.7,0.8,0.1,1.2,1.4,15.2,2023,24,18,0.571,0.0,120.0,117.0,2.36
268,Terence Davis,SG,25,SAC,34,4,13.0,2.3,5.5,0.42,1.3,3.6,0.347,1.1,1.9,0.563,0.535,0.6,0.6,0.864,0.4,2.0,2.5,1.3,0.8,0.3,0.9,1.8,6.5,2023,24,18,0.571,0.0,120.0,117.0,2.36
269,Matthew Dellavedova,PG,32,SAC,19,0,5.9,0.5,1.4,0.385,0.3,0.6,0.417,0.3,0.7,0.357,0.481,0.1,0.2,0.333,0.1,0.3,0.3,1.2,0.3,0.0,0.3,0.6,1.4,2023,24,18,0.571,0.0,120.0,117.0,2.36
272,De'Aaron Fox,PG,25,SAC,39,39,33.1,8.9,17.6,0.505,1.6,4.9,0.335,7.2,12.7,0.571,0.552,4.4,5.5,0.8,0.4,3.9,4.4,6.0,0.9,0.4,2.6,2.5,23.8,2023,24,18,0.571,0.0,120.0,117.0,2.36
273,Richaun Holmes,C,29,SAC,27,0,8.8,1.2,1.9,0.647,0.1,0.1,0.75,1.1,1.7,0.638,0.676,0.3,0.3,0.778,0.7,1.3,2.0,0.1,0.1,0.3,0.3,1.4,2.8,2023,24,18,0.571,0.0,120.0,117.0,2.36
274,Kevin Huerter,SG,24,SAC,39,39,31.1,5.6,11.7,0.479,2.9,7.0,0.418,2.7,4.7,0.571,0.604,1.5,2.1,0.72,0.5,2.7,3.3,2.9,1.1,0.3,1.5,2.7,15.7,2023,24,18,0.571,0.0,120.0,117.0,2.36
275,Alex Len,C,29,SAC,10,1,4.0,0.5,1.0,0.5,0.0,0.1,0.0,0.5,0.9,0.556,0.5,0.3,0.4,0.75,0.3,1.0,1.3,0.3,0.0,0.0,0.3,0.7,1.3,2023,24,18,0.571,0.0,120.0,117.0,2.36
276,Trey Lyles,PF,27,SAC,36,0,15.3,2.4,5.1,0.465,1.1,3.1,0.366,1.3,2.0,0.616,0.576,1.0,1.3,0.771,1.0,2.6,3.6,0.8,0.3,0.5,0.8,1.2,6.9,2023,24,18,0.571,0.0,120.0,117.0,2.36
277,Chimezie Metu,C,25,SAC,30,0,10.7,2.1,3.5,0.594,0.2,0.7,0.238,1.9,2.8,0.682,0.618,0.7,0.8,0.84,0.7,2.4,3.1,0.7,0.3,0.2,0.6,1.3,5.1,2023,24,18,0.571,0.0,120.0,117.0,2.36
278,Davion Mitchell,PG,24,SAC,41,3,19.1,2.5,5.4,0.466,0.9,2.5,0.343,1.7,2.9,0.571,0.545,0.3,0.4,0.722,0.2,1.3,1.5,2.2,0.6,0.2,0.9,1.5,6.2,2023,24,18,0.571,0.0,120.0,117.0,2.36
280,Malik Monk,SG,24,SAC,41,0,22.6,4.8,10.9,0.438,1.8,5.5,0.326,3.0,5.5,0.549,0.519,2.4,2.7,0.899,0.5,1.9,2.4,3.9,0.6,0.2,1.9,1.6,13.7,2023,24,18,0.571,0.0,120.0,117.0,2.36
281,Keegan Murray,SF,22,SAC,40,38,28.6,4.2,9.8,0.433,2.4,5.9,0.404,1.9,3.9,0.477,0.555,0.9,1.2,0.771,1.0,2.9,3.8,1.0,0.9,0.6,1.0,2.1,11.8,2023,24,18,0.571,0.0,120.0,117.0,2.36
282,KZ Okpala,PF,23,SAC,30,3,7.9,0.5,1.1,0.471,0.2,0.6,0.389,0.3,0.5,0.563,0.574,0.2,0.2,1.0,0.2,0.9,1.1,0.4,0.2,0.2,0.2,1.3,1.5,2023,24,18,0.571,0.0,120.0,117.0,2.36
284,Domantas Sabonis,C,26,SAC,41,41,34.3,7.0,11.4,0.61,0.5,1.2,0.38,6.5,10.2,0.637,0.63,4.4,5.9,0.749,3.0,9.6,12.6,7.1,0.8,0.5,2.6,3.6,18.9,2023,24,18,0.571,0.0,120.0,117.0,2.36
285,Nicolas Batum,PF,34,LAC,42,9,21.9,2.1,5.0,0.417,1.5,4.0,0.386,0.6,1.1,0.533,0.569,0.5,0.7,0.633,0.9,3.5,4.4,1.4,0.7,0.7,0.7,2.1,6.2,2023,23,22,0.511,2.5,109.4,109.9,-1.34
286,Brandon Boston Jr.,SG,21,LAC,16,0,9.6,1.8,4.8,0.368,0.6,1.4,0.435,1.1,3.3,0.34,0.434,1.3,1.6,0.769,0.4,0.9,1.3,0.8,0.4,0.0,0.3,0.6,5.4,2023,23,22,0.511,2.5,109.4,109.9,-1.34
288,Amir Coffey,SG,25,LAC,33,8,14.0,1.2,3.2,0.371,0.3,0.9,0.3,0.9,2.3,0.4,0.414,1.1,1.4,0.8,0.5,0.8,1.2,1.3,0.2,0.1,0.4,1.1,3.7,2023,23,22,0.511,2.5,109.4,109.9,-1.34
